From	To
Q9NPJ3	CHEMBL4295957
Q14642	CHEMBL4243
O14804	CHEMBL3714046
P49959	CHEMBL3308929
Q99988	CHEMBL3120039
P60033	CHEMBL1075180
Q7Z628	CHEMBL4295880
Q96AG4	CHEMBL2216743
P07992	CHEMBL3883316
O60930	CHEMBL5893
P12110	CHEMBL2364188
Q9BZM1	CHEMBL6122
P02511	CHEMBL3621022
Q9UBX7	CHEMBL3031
P27348	CHEMBL3710408
P42568	CHEMBL4295761
Q14118	CHEMBL3714399
Q16538	CHEMBL4523871
Q9GZZ6	CHEMBL2109238
Q9BVG8	CHEMBL1075119
Q9Y5Y6	CHEMBL3018
Q6W5P4	CHEMBL5162
P30086	CHEMBL4105856
Q9BSW2	CHEMBL3638353
P30542	CHEMBL226
P34972	CHEMBL253
Q14247	CHEMBL4295820
Q13523	CHEMBL1908382
P08473	CHEMBL1944
Q9NYJ7	CHEMBL4630888
Q9NZ42	CHEMBL2374
Q9Y2P5	CHEMBL5196
Q8WTT0	CHEMBL2176855
Q6P2P2	CHEMBL4105724
Q8TDN2	CHEMBL2362996
P15382	CHEMBL4872
P28331	CHEMBL2363065
Q14542	CHEMBL3509606
P81277	CHEMBL4523266
P22413	CHEMBL5925
Q99828	CHEMBL4879503
P08908	CHEMBL214
Q709F0	CHEMBL4105707
Q92918	CHEMBL5749
Q14683	CHEMBL4105747
Q16206	CHEMBL3714292
Q8TDX6	CHEMBL2040705
Q16099	CHEMBL2109241
Q96CX2	CHEMBL4523424
P51530	CHEMBL4523236
Q8WWX8	CHEMBL1744524
Q14103	CHEMBL4296009
Q8NDH3	CHEMBL3831223
Q12794	CHEMBL4528
Q96T54	CHEMBL4523433
Q9UP65	CHEMBL4834
P42566	CHEMBL4295760
P22732	CHEMBL5875
P51685	CHEMBL4596
Q03181	CHEMBL3979
P20815	CHEMBL3019
P23921	CHEMBL1830
Q9P296	CHEMBL4523478
P98170	CHEMBL4198
O95264	CHEMBL3895
P21549	CHEMBL5169121
P14151	CHEMBL3161
P34897	CHEMBL4295747
P07451	CHEMBL2885
Q9ULD4	CHEMBL3108644
Q9Y4L1	CHEMBL2216741
P42229	CHEMBL5403
P07949	CHEMBL2041
P62136	CHEMBL2164
O75153	CHEMBL4295673
P49755	CHEMBL4295772
Q8TEA1	CHEMBL5169179
O00748	CHEMBL3180
P53396	CHEMBL3720
Q96NY8	CHEMBL3712928
P10620	CHEMBL1743184
O60763	CHEMBL4295669
P63241	CHEMBL4105862
Q8NFJ5	CHEMBL4523896
O60664	CHEMBL4523145
P28347	CHEMBL3334416
P57764	CHEMBL4523247
P21796	CHEMBL4295729
P42357	CHEMBL4003
P13569	CHEMBL4051
P57771	CHEMBL2034803
P55011	CHEMBL1615383
P52788	CHEMBL4934
O60741	CHEMBL1795171
Q13123	CHEMBL2321616
P14859	CHEMBL3509601
Q9H3R0	CHEMBL6175
Q15475	CHEMBL4630826
Q13641	CHEMBL3712934
P00492	CHEMBL2360
Q96P09	CHEMBL5851
P00352	CHEMBL3577
O15379	CHEMBL1829
Q9NP80	CHEMBL2189126
Q13087	CHEMBL4739853
Q16322	CHEMBL2363001
Q9ULD8	CHEMBL2363017
P57678	CHEMBL5169137
Q8NEB9	CHEMBL1075165
Q96GW9	CHEMBL4739700
P11413	CHEMBL5347
Q13733	CHEMBL2095186
Q16850	CHEMBL3849
P02656	CHEMBL4523160
Q7Z2E3	CHEMBL4523362
O43790	CHEMBL4523139
P07148	CHEMBL5421
O95279	CHEMBL4523157
Q03518	CHEMBL4523275
P48546	CHEMBL4383
P12830	CHEMBL2321609
P03923	CHEMBL2363065
Q96PC2	CHEMBL4523431
P49711	CHEMBL4523233
Q9ULV5	CHEMBL3988631
P01568	CHEMBL3856161
Q71SY5	CHEMBL5169169
O75460	CHEMBL1163101
O60341	CHEMBL6136
P07766	CHEMBL1975
P20333	CHEMBL1250356
Q9GZZ9	CHEMBL2016429
A8K7I4	CHEMBL2364708
Q8IZC6	CHEMBL2364188
Q8N543	CHEMBL4523398
Q9BXM7	CHEMBL3337330
Q8WYN0	CHEMBL5169181
P49411	CHEMBL4105970
P13942	CHEMBL2364188
P38936	CHEMBL5021
Q9NYP7	CHEMBL5937
P28827	CHEMBL4661
O94804	CHEMBL3981
Q14781	CHEMBL3779761
Q8NFJ6	CHEMBL5548
P48357	CHEMBL5913
Q9UL51	CHEMBL1795172
P07858	CHEMBL4072
Q99972	CHEMBL4105967
Q9UKZ1	CHEMBL4105958
Q05639	CHEMBL1795122
Q9NX14	CHEMBL2363065
Q9H2K2	CHEMBL6154
P01031	CHEMBL2364163
Q5W0Z9	CHEMBL5169156
O76039	CHEMBL1163112
Q9BVS4	CHEMBL6000
P53611	CHEMBL4523994
O75676	CHEMBL3125
Q8IVH8	CHEMBL5432
Q8TDU6	CHEMBL5409
Q8TBX8	CHEMBL1770034
P12544	CHEMBL4307
P51813	CHEMBL3834
P17927	CHEMBL3713643
Q92947	CHEMBL3817721
Q6PH85	CHEMBL4295866
Q15406	CHEMBL1961793
Q96SW2	CHEMBL3763008
Q02153	CHEMBL3137281
Q9UBS0	CHEMBL3111
P31749	CHEMBL4282
Q92993	CHEMBL5750
P04406	CHEMBL2284
Q9UL54	CHEMBL1075195
Q96S53	CHEMBL2069163
P63096	CHEMBL4741
P08631	CHEMBL3234
Q96FE5	CHEMBL3712965
P45985	CHEMBL2897
P46019	CHEMBL2906
O43676	CHEMBL2363065
P49638	CHEMBL3308919
P01589	CHEMBL1778
Q9UBB5	CHEMBL3707462
Q6SA08	CHEMBL4295868
Q9HAW8	CHEMBL1743320
P55201	CHEMBL3132741
Q7Z601	CHEMBL2069161
Q9H6Z9	CHEMBL5705
Q16644	CHEMBL4670
Q9UBQ7	CHEMBL4295972
Q8IVM8	CHEMBL2073721
Q9NQV8	CHEMBL5214864
P25116	CHEMBL3974
Q96RR4	CHEMBL5284
P50135	CHEMBL2190
P22459	CHEMBL4205
P38398	CHEMBL5990
P09467	CHEMBL3975
O43464	CHEMBL4523137
Q9UJ96	CHEMBL2362996
Q9Y5M8	CHEMBL4295993
Q9NRR2	CHEMBL4955
P25090	CHEMBL4227
Q12797	CHEMBL4680030
P24347	CHEMBL2867
Q99757	CHEMBL2189153
Q9UPZ9	CHEMBL1163126
P28222	CHEMBL1898
Q16288	CHEMBL5608
Q99795	CHEMBL3712927
Q96RI0	CHEMBL4691
P12644	CHEMBL5350
P11388	CHEMBL1806
O00562	CHEMBL1764937
P04201	CHEMBL3559701
Q16576	CHEMBL3301388
Q92597	CHEMBL4295916
P07333	CHEMBL1844
P49286	CHEMBL1946
Q9UHJ3	CHEMBL1764944
Q02763	CHEMBL4128
Q9C000	CHEMBL1741214
Q8TDX7	CHEMBL4849
Q13191	CHEMBL4879459
Q9Y6Y9	CHEMBL2375202
Q8NFI3	CHEMBL5172
Q9BY41	CHEMBL3192
Q99536	CHEMBL4802015
Q13751	CHEMBL2364187
Q6XUX3	CHEMBL1908386
P0DPD6	CHEMBL5890
P04150	CHEMBL2034
Q99571	CHEMBL2104
Q9H227	CHEMBL3865
P17301	CHEMBL4998
Q9BXA7	CHEMBL6003
P10589	CHEMBL1961789
P46734	CHEMBL2109
Q7Z2K8	CHEMBL5266
O75717	CHEMBL4295681
O95864	CHEMBL6097
Q9GZU1	CHEMBL4524043
Q9Y6M9	CHEMBL2363065
P49685	CHEMBL4523866
Q9BZJ3	CHEMBL2095193
P43628	CHEMBL3713026
P39059	CHEMBL2364188
Q14416	CHEMBL5137
O00459	CHEMBL4437
P42681	CHEMBL4367
O94907	CHEMBL6024
Q03933	CHEMBL3988631
P21964	CHEMBL2023
O95630	CHEMBL4105848
P46094	CHEMBL4339
P07355	CHEMBL1764938
Q969F8	CHEMBL5413
Q9NSY1	CHEMBL4522
Q9P2K3	CHEMBL4296112
Q9P2K3	CHEMBL4296114
Q9BVA0	CHEMBL3879844
P21554	CHEMBL218
Q53EU6	CHEMBL4523318
Q7L5A8	CHEMBL4879483
P52209	CHEMBL3404
Q05823	CHEMBL3575
Q8NI60	CHEMBL5550
P08833	CHEMBL4178
Q9HCR9	CHEMBL2717
Q9UGM1	CHEMBL2184
P08684	CHEMBL340
P27695	CHEMBL5619
P55854	CHEMBL3885639
P11717	CHEMBL3240
Q969T7	CHEMBL4295921
P59901	CHEMBL4804246
P19113	CHEMBL4523192
O95838	CHEMBL5844
Q02108	CHEMBL3137281
P10997	CHEMBL1914266
Q15165	CHEMBL4295823
P00519	CHEMBL1862
P32239	CHEMBL298
P01375	CHEMBL1825
Q2M3G0	CHEMBL1772928
Q92997	CHEMBL6028
P49748	CHEMBL4105892
Q9UJU2	CHEMBL3217392
P05111	CHEMBL5169109
A5X5Y0	CHEMBL4296087
Q08J23	CHEMBL4739683
P51677	CHEMBL3473
Q4FZB7	CHEMBL2321645
O00187	CHEMBL4295646
P47895	CHEMBL3579
O43570	CHEMBL3242
P38435	CHEMBL2012
Q96QZ7	CHEMBL4295927
P01730	CHEMBL2754
P26641	CHEMBL4295735
P43004	CHEMBL4973
Q7Z3E1	CHEMBL2380188
O15392	CHEMBL5989
Q7LG56	CHEMBL3301398
Q9H840	CHEMBL4105841
Q16581	CHEMBL4761
Q9BRX8	CHEMBL3879824
P29400	CHEMBL2364188
P17612	CHEMBL4101
P41252	CHEMBL3235
P10253	CHEMBL2608
Q5VWG9	CHEMBL4523329
P16435	CHEMBL2169731
Q13464	CHEMBL3231
P16152	CHEMBL5586
P19634	CHEMBL2781
Q6UWV6	CHEMBL6058
Q9ULC6	CHEMBL1909486
Q9UHV9	CHEMBL4295976
P15090	CHEMBL2083
O60346	CHEMBL3414405
Q8NHM5	CHEMBL3779760
Q01449	CHEMBL3831286
P32302	CHEMBL1075315
P42785	CHEMBL2335
P09603	CHEMBL3989382
P50897	CHEMBL2331051
Q8IUX4	CHEMBL2007626
P23510	CHEMBL3712900
O43603	CHEMBL3176
Q9GZQ4	CHEMBL1075144
P04070	CHEMBL4444
O15254	CHEMBL4105817
P04234	CHEMBL2364168
Q5T3U5	CHEMBL2073687
P49789	CHEMBL1795151
P49326	CHEMBL3430871
P28072	CHEMBL1944496
Q8NCM2	CHEMBL2362996
Q6ZMC9	CHEMBL4523355
O60911	CHEMBL3272
Q00610	CHEMBL3108634
Q96FI4	CHEMBL4523426
P11226	CHEMBL1795113
O75976	CHEMBL4523154
P00441	CHEMBL2354
Q04756	CHEMBL3351190
Q8TC07	CHEMBL4295905
P01374	CHEMBL2059
P50416	CHEMBL1293194
O00257	CHEMBL3232685
Q09328	CHEMBL1795131
P16278	CHEMBL2522
O00391	CHEMBL4523117
Q8N122	CHEMBL3120040
P23280	CHEMBL3025
P09972	CHEMBL4295709
Q07075	CHEMBL3439
Q13185	CHEMBL3826866
P16885	CHEMBL4100
P49406	CHEMBL4295771
P60709	CHEMBL2062353
Q14722	CHEMBL5884
O95782	CHEMBL4295687
Q86YI8	CHEMBL1764945
P56537	CHEMBL4296020
P26447	CHEMBL2362976
P08572	CHEMBL2364188
Q15825	CHEMBL2109233
Q15825	CHEMBL2109237
Q15825	CHEMBL3137285
Q15825	CHEMBL4888445
O95433	CHEMBL3309113
P17707	CHEMBL4181
P15309	CHEMBL2633
P48145	CHEMBL1293293
P05113	CHEMBL1169600
Q8IV08	CHEMBL2769
O60675	CHEMBL2346484
P80365	CHEMBL3746
Q14697	CHEMBL2519
Q14003	CHEMBL2362996
Q16774	CHEMBL4989
Q9HA64	CHEMBL4295947
P35573	CHEMBL5272
Q9NYW7	CHEMBL4523475
Q99873	CHEMBL5524
Q92800	CHEMBL2189116
Q14289	CHEMBL5469
P17658	CHEMBL5279
Q8NA19	CHEMBL1287624
Q8TDT2	CHEMBL4523900
O15055	CHEMBL3751648
Q9Y277	CHEMBL4523505
Q15436	CHEMBL4295827
Q9UQ07	CHEMBL4295983
P08173	CHEMBL1821
P11166	CHEMBL2535
P43489	CHEMBL3989383
Q8TCT0	CHEMBL1764936
Q9Y2C9	CHEMBL3259477
P10696	CHEMBL3402
O60602	CHEMBL2176839
P16333	CHEMBL4846
P29966	CHEMBL4804244
P27144	CHEMBL4926
P35558	CHEMBL2911
Q6ZWH5	CHEMBL3108655
Q9UMN6	CHEMBL2189112
O15440	CHEMBL2046258
P35638	CHEMBL3351207
Q7Z449	CHEMBL4523986
P04818	CHEMBL1952
P78540	CHEMBL1795148
P0DMS9	CHEMBL3712907
P36897	CHEMBL4439
P50281	CHEMBL3869
Q8NFU5	CHEMBL4523401
Q9Y2W1	CHEMBL4105820
Q96KN8	CHEMBL4630850
Q32MZ4	CHEMBL4295838
O00142	CHEMBL4580
Q13258	CHEMBL4427
P45983	CHEMBL2276
P50747	CHEMBL2062354
Q16572	CHEMBL4767
O75604	CHEMBL1293227
P09493	CHEMBL4295705
P17252	CHEMBL299
O14578	CHEMBL5579
Q14004	CHEMBL1795192
O00505	CHEMBL4523119
Q96LC7	CHEMBL4303061
P30405	CHEMBL3325306
O43781	CHEMBL4575
O00144	CHEMBL4523116
P08670	CHEMBL3712854
Q96EB6	CHEMBL4506
P26358	CHEMBL1993
Q9BYV9	CHEMBL5069364
O14976	CHEMBL4355
O43318	CHEMBL5776
Q9BXW9	CHEMBL2157857
O15296	CHEMBL2457
Q07817	CHEMBL4625
Q9Y5Z0	CHEMBL2525
Q13261	CHEMBL4665592
Q7LFL8	CHEMBL5169170
Q9UJW3	CHEMBL3137291
Q9UJW3	CHEMBL3885560
Q6GQQ9	CHEMBL4630838
P51589	CHEMBL3491
P80192	CHEMBL2872
P61011	CHEMBL4295786
Q5TCY1	CHEMBL1926492
Q9BV23	CHEMBL2189127
P08574	CHEMBL4105975
P31641	CHEMBL5762
Q5VU57	CHEMBL4523328
P03950	CHEMBL5829
Q9NRE1	CHEMBL4707
O00264	CHEMBL4105706
Q16798	CHEMBL6182
O00214	CHEMBL5475
P21291	CHEMBL4295728
P05112	CHEMBL3712894
O43524	CHEMBL5778
Q14534	CHEMBL3592
P22455	CHEMBL3973
O60333	CHEMBL5889
Q8WWR8	CHEMBL4174
P78552	CHEMBL3831285
P08034	CHEMBL4879427
Q9NS66	CHEMBL4523922
P59535	CHEMBL4523250
Q969P6	CHEMBL2362989
Q9Y2R2	CHEMBL2889
P03979	CHEMBL3580506
Q9HA47	CHEMBL5682
Q5MY95	CHEMBL5338
Q99661	CHEMBL5967
P14618	CHEMBL1075189
Q00765	CHEMBL4295797
P00918	CHEMBL205
Q14185	CHEMBL4523288
Q9GZR1	CHEMBL1741215
O00743	CHEMBL4105731
Q13444	CHEMBL2331050
Q16254	CHEMBL4630726
O15021	CHEMBL2417351
O95628	CHEMBL4105770
P22307	CHEMBL5950
Q92835	CHEMBL1781870
Q96G61	CHEMBL4296042
P10912	CHEMBL1976
P40238	CHEMBL1864
P07339	CHEMBL2581
Q9Y3D2	CHEMBL3509603
P51668	CHEMBL4105766
P21980	CHEMBL2730
Q8NEV1	CHEMBL3832943
P27694	CHEMBL1764940
P61981	CHEMBL1293296
O14733	CHEMBL3530
Q14186	CHEMBL4523289
P41134	CHEMBL1075116
P46934	CHEMBL3621023
O15354	CHEMBL4523862
P39687	CHEMBL4295758
Q9Y6K9	CHEMBL4967
P05543	CHEMBL3843
Q96P68	CHEMBL2150840
Q59H18	CHEMBL5260
Q9Y6D5	CHEMBL4105732
Q02750	CHEMBL3587
O43508	CHEMBL3713023
P25789	CHEMBL2364701
P25789	CHEMBL3831201
P16083	CHEMBL3959
Q16539	CHEMBL260
Q09013	CHEMBL5320
Q99735	CHEMBL1743185
P07942	CHEMBL2364187
Q7KZI7	CHEMBL3831
Q53GQ0	CHEMBL5998
Q8WXA8	CHEMBL4296091
P02787	CHEMBL4865
P09544	CHEMBL1255132
Q15835	CHEMBL5607
Q9BQE9	CHEMBL4630852
P08637	CHEMBL3856162
P30419	CHEMBL2593
Q9Y345	CHEMBL3060
P09471	CHEMBL4742
Q9H093	CHEMBL5698
Q6PEY2	CHEMBL2095182
Q5VST6	CHEMBL2189132
Q9Y5S8	CHEMBL1287628
A8TX70	CHEMBL2364188
P0C264	CHEMBL5116
O60551	CHEMBL2849
O95149	CHEMBL3885569
Q9BYJ9	CHEMBL5169192
Q8N371	CHEMBL4523396
P15848	CHEMBL2399
O75396	CHEMBL4295679
P09651	CHEMBL1955709
P28065	CHEMBL1944495
O95989	CHEMBL4295689
Q14209	CHEMBL4630726
P22680	CHEMBL1851
P80404	CHEMBL2044
P51570	CHEMBL1293257
Q9NR30	CHEMBL4296016
Q86VZ1	CHEMBL4523886
P18433	CHEMBL3918
Q9H160	CHEMBL3784904
P63027	CHEMBL2364160
Q13421	CHEMBL3712878
Q15582	CHEMBL4295829
Q9H7B4	CHEMBL2321643
Q07065	CHEMBL4296025
Q9H4A3	CHEMBL1075173
P55157	CHEMBL2569
Q05513	CHEMBL3438
P55789	CHEMBL1741189
P10588	CHEMBL1961791
P54687	CHEMBL4679
P30926	CHEMBL1907591
P30926	CHEMBL1907594
P30926	CHEMBL2109230
P30926	CHEMBL3038459
P30926	CHEMBL3137273
P30926	CHEMBL3137285
P30926	CHEMBL3885595
P12821	CHEMBL1808
O75581	CHEMBL3745588
O15068	CHEMBL4524032
O60725	CHEMBL4699
P11168	CHEMBL5873
Q14CN2	CHEMBL2364708
P0DJD9	CHEMBL3295
Q969D9	CHEMBL3712931
O15085	CHEMBL4523642
P00491	CHEMBL4338
Q5QNW6	CHEMBL4295850
P28223	CHEMBL224
P15328	CHEMBL2121
O14802	CHEMBL4665582
Q00688	CHEMBL4746
P04053	CHEMBL4810
Q8TAA3	CHEMBL2364701
Q8TAA3	CHEMBL3831201
P05091	CHEMBL1935
Q14643	CHEMBL4046
Q5JUR7	CHEMBL2189125
Q9NZ08	CHEMBL5939
Q02643	CHEMBL2032
Q99549	CHEMBL1741210
P48065	CHEMBL3715
O15382	CHEMBL3616354
P50053	CHEMBL1275212
P79483	CHEMBL3460
Q02241	CHEMBL5899
Q9UK05	CHEMBL3831181
Q9UNQ0	CHEMBL5393
P15144	CHEMBL1907
Q14376	CHEMBL5843
Q9ULK4	CHEMBL4146
Q15004	CHEMBL5574
Q01668	CHEMBL4138
Q6ZMB0	CHEMBL2321631
Q9P2H5	CHEMBL4630862
O15151	CHEMBL1255126
Q9NRF9	CHEMBL3833525
Q8WXI2	CHEMBL1938216
Q9ULS6	CHEMBL2362996
Q96KB5	CHEMBL4896
Q08345	CHEMBL5319
O75762	CHEMBL6007
P51659	CHEMBL5814
Q92729	CHEMBL1961785
P84077	CHEMBL5985
P55786	CHEMBL2264
Q14181	CHEMBL2363042
P25092	CHEMBL1795197
P35372	CHEMBL233
P22392	CHEMBL2160
Q9ULI0	CHEMBL2176775
P03372	CHEMBL206
P59534	CHEMBL4523249
Q02223	CHEMBL4523587
Q9Y6C9	CHEMBL4523511
P33176	CHEMBL5864
Q9H1Y3	CHEMBL4523919
Q11130	CHEMBL3596077
Q13639	CHEMBL1875
P46459	CHEMBL2311231
Q9Y230	CHEMBL2062349
Q9ULW8	CHEMBL1909488
O14745	CHEMBL4523125
O14791	CHEMBL4680021
Q06495	CHEMBL3769299
Q9UHI8	CHEMBL5133
Q7Z4V5	CHEMBL4523364
Q9H0R8	CHEMBL4879515
Q14191	CHEMBL2146312
P05177	CHEMBL3356
O95347	CHEMBL4105890
Q7Z434	CHEMBL4523363
P13861	CHEMBL2221
P08581	CHEMBL3717
P35520	CHEMBL3399911
P51149	CHEMBL4105784
P50148	CHEMBL3286079
Q96P67	CHEMBL4523907
Q9HBH1	CHEMBL4647
P17980	CHEMBL2364701
Q9UNI1	CHEMBL3000
P06744	CHEMBL4295702
Q8NHU6	CHEMBL4105828
P05108	CHEMBL2033
O43734	CHEMBL4523586
O15294	CHEMBL5955
P26599	CHEMBL1293230
O60906	CHEMBL4712
P60604	CHEMBL4523256
P27986	CHEMBL2506
P12956	CHEMBL4106136
P29972	CHEMBL4523210
Q9Y375	CHEMBL2363065
Q9NR61	CHEMBL3712916
P50454	CHEMBL5286
Q8IW41	CHEMBL3094
P23526	CHEMBL2664
Q6P4F1	CHEMBL2926
P48643	CHEMBL4295766
P50213	CHEMBL4296004
O75908	CHEMBL4465
O43187	CHEMBL4105759
P01215	CHEMBL2146305
Q16363	CHEMBL2364187
P17643	CHEMBL3712886
P61077	CHEMBL4105911
Q9NZQ8	CHEMBL1628468
Q96Q40	CHEMBL5856
O60704	CHEMBL3178
Q92887	CHEMBL5748
Q99678	CHEMBL4523912
P22460	CHEMBL4306
O75390	CHEMBL4295678
P51151	CHEMBL1293294
P21918	CHEMBL1850
Q02779	CHEMBL2873
P00387	CHEMBL2146
P31327	CHEMBL2362990
P59551	CHEMBL3309109
Q14566	CHEMBL4296011
O95239	CHEMBL6163
O43674	CHEMBL2363065
P08174	CHEMBL4879428
Q96LI5	CHEMBL4105957
Q9BUL5	CHEMBL2424508
O15552	CHEMBL5493
P13501	CHEMBL1275217
Q9UP38	CHEMBL2346493
Q9NPC2	CHEMBL2321614
Q9Y2K7	CHEMBL1938210
Q9NX63	CHEMBL4105877
P37231	CHEMBL235
Q6YP21	CHEMBL2046260
Q5T601	CHEMBL4523872
P20848	CHEMBL4879431
Q6J4K2	CHEMBL3763001
P46940	CHEMBL4295763
P14780	CHEMBL321
Q14031	CHEMBL2364188
Q9NP87	CHEMBL1914260
O75369	CHEMBL4295677
Q8NCC3	CHEMBL4986
Q16513	CHEMBL3032
Q9UIJ5	CHEMBL5169204
Q9BZ11	CHEMBL6121
P06729	CHEMBL2040
P16442	CHEMBL2321639
P50583	CHEMBL4105863
P06753	CHEMBL3804747
P63151	CHEMBL4284
Q13131	CHEMBL4045
Q9UNA0	CHEMBL2285
Q99623	CHEMBL4295931
P30307	CHEMBL2378
P10619	CHEMBL6115
Q15291	CHEMBL3137282
P51957	CHEMBL5819
P32248	CHEMBL4594
P55268	CHEMBL2364187
Q0VDF9	CHEMBL5169146
O43451	CHEMBL2074
Q8IV63	CHEMBL3430761
P19320	CHEMBL3735
Q92843	CHEMBL4677
P16070	CHEMBL3232692
P47897	CHEMBL3054
P98088	CHEMBL3713020
Q16543	CHEMBL1795123
O75387	CHEMBL4148
O96008	CHEMBL4523158
Q9Y271	CHEMBL1798
P31629	CHEMBL4523214
Q9BXA5	CHEMBL2150838
Q86T24	CHEMBL5069376
Q99538	CHEMBL4244
O94921	CHEMBL6162
Q99808	CHEMBL1997
Q14807	CHEMBL5470
P32418	CHEMBL4076
P01023	CHEMBL4295690
P40189	CHEMBL3124734
Q9NTK5	CHEMBL4105704
P05362	CHEMBL3070
Q12879	CHEMBL1972
P51451	CHEMBL2250
P08100	CHEMBL4296308
Q9UQ05	CHEMBL2362996
Q9NP58	CHEMBL2007630
Q4G176	CHEMBL4523315
Q16518	CHEMBL3831182
O60547	CHEMBL4105807
Q86TI2	CHEMBL4793
Q9BXT2	CHEMBL2363032
Q9NR31	CHEMBL4295960
O14929	CHEMBL4523128
O75832	CHEMBL2331054
P41180	CHEMBL1878
P11137	CHEMBL2390810
P47929	CHEMBL5008
Q9NYA1	CHEMBL4394
P11150	CHEMBL2127
P49915	CHEMBL5721
Q9HC38	CHEMBL4295951
Q96GG9	CHEMBL4105838
Q99619	CHEMBL3325308
P07237	CHEMBL5422
P07315	CHEMBL4296285
Q9UIQ6	CHEMBL2693
Q6DHV7	CHEMBL1795150
P23471	CHEMBL4295730
Q9BPZ2	CHEMBL4523440
Q16665	CHEMBL4261
Q01453	CHEMBL1293298
Q16620	CHEMBL4898
P0DMV9	CHEMBL3885585
P04746	CHEMBL2045
P51649	CHEMBL1911
P06396	CHEMBL4295700
O00444	CHEMBL3788
Q96IV0	CHEMBL4523429
P25940	CHEMBL2364188
Q11201	CHEMBL3596074
Q7L9L4	CHEMBL4295878
Q14573	CHEMBL3904
Q7Z478	CHEMBL4105909
O75197	CHEMBL4295675
O15519	CHEMBL1955713
O15439	CHEMBL1743128
P45379	CHEMBL2095202
Q9HBY0	CHEMBL1741216
Q86YT5	CHEMBL3769293
Q86SQ4	CHEMBL4523884
P29475	CHEMBL3568
Q9NWZ3	CHEMBL3778
O60658	CHEMBL4640
Q9Y6L6	CHEMBL1697668
Q01064	CHEMBL4425
O14782	CHEMBL1075196
P25098	CHEMBL4079
Q9HCP0	CHEMBL2426
Q86XK2	CHEMBL4879484
O95237	CHEMBL2202
P43088	CHEMBL1987
P11234	CHEMBL3879851
